race_id,track,total_laps,track_temp,pit_lane_time,base_lap_time,lap_band,temp_band,unique_sequence_count,two_stop_drivers,top_sequence,top_sequence_count,soft_share,medium_share,hard_share,soft_hard_share,medium_hard_share,hard_medium_share,medium_soft_share,soft_medium_share,is_challenge,challenge_score
R21657,Monza,42.0,41.0,23.2,83.3,mid_short,hot,8.0,3.0,MEDIUM>HARD,7.0,0.4,0.4,0.2,0.2,0.35,0.15,0.05,0.1,0,0.01385103220339225
R19779,Suzuka,35.0,30.0,23.7,89.2,short,mild,6.0,0.0,HARD>SOFT,4.0,0.35,0.3,0.35,0.15,0.15,0.15,0.15,0.2,0,0.013845283524730622
R29610,Monza,52.0,42.0,23.8,85.3,mid,hot,8.0,4.0,MEDIUM>HARD,5.0,0.3,0.45,0.25,0.15,0.25,0.2,0.15,0.0,0,0.013832998486940756
R09671,Bahrain,44.0,28.0,21.2,80.6,mid_short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.35,0.35,0.3,0.2,0.15,0.2,0.2,0.15,0,0.013823172968797193
R17446,Monaco,40.0,30.0,22.5,81.0,mid_short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.3,0.4,0.3,0.15,0.15,0.25,0.25,0.15,0,0.013808767839993942
R26591,Monaco,53.0,22.0,22.1,80.3,mid,cool,8.0,3.0,MEDIUM>HARD,4.0,0.35,0.25,0.4,0.05,0.2,0.2,0.0,0.2,0,0.013800717434113912
R23895,Suzuka,70.0,38.0,23.4,84.4,long,hot,9.0,4.0,HARD>SOFT,3.0,0.35,0.4,0.25,0.15,0.1,0.1,0.15,0.15,0,0.013768327290867107
R07228,Monza,35.0,28.0,22.3,91.6,short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.4,0.3,0.3,0.2,0.1,0.15,0.2,0.2,0,0.013759903993656368
R14912,Suzuka,37.0,30.0,20.8,81.5,mid_short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.4,0.35,0.25,0.2,0.1,0.2,0.25,0.2,0,0.013724959280492879
R25222,Monza,55.0,40.0,20.4,81.0,mid,hot,12.0,6.0,MEDIUM>HARD,4.0,0.3,0.45,0.25,0.05,0.2,0.1,0.15,0.1,0,0.013724535965932778
R01763,Monza,25.0,30.0,23.7,85.1,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.3,0.35,0.15,0.25,0.25,0.05,0.2,0,0.013685642593932798
R25500,Monaco,44.0,20.0,22.7,84.3,mid_short,cool,9.0,3.0,MEDIUM>SOFT,5.0,0.25,0.4,0.35,0.15,0.15,0.2,0.25,0.05,0,0.013684512315105988
R01116,Suzuka,25.0,28.0,22.3,80.8,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.35,0.35,0.2,0.25,0.2,0.1,0.1,0,0.013624634533802542
R23715,Suzuka,53.0,38.0,20.5,87.9,mid,hot,13.0,9.0,SOFT>MEDIUM>HARD,3.0,0.45,0.25,0.3,0.1,0.05,0.1,0.15,0.05,0,0.013584476542750152
R21958,Monza,56.0,20.0,23.5,83.4,long,cool,9.0,4.0,HARD>SOFT,4.0,0.4,0.25,0.35,0.05,0.1,0.15,0.15,0.15,0,0.013579721158019562
R24884,Suzuka,52.0,42.0,23.6,83.4,mid,hot,9.0,3.0,MEDIUM>SOFT,4.0,0.45,0.25,0.3,0.15,0.05,0.1,0.2,0.2,0,0.013577075876384327
R11547,Monza,37.0,30.0,23.7,83.0,mid_short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.25,0.4,0.35,0.15,0.2,0.2,0.2,0.1,0,0.013550882782065347
R29734,Monza,55.0,38.0,21.4,87.9,mid,hot,9.0,4.0,MEDIUM>HARD,4.0,0.35,0.3,0.35,0.05,0.2,0.15,0.1,0.15,0,0.01354597929318706
R20557,Monza,40.0,29.0,21.0,82.8,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.25,0.45,0.3,0.2,0.25,0.2,0.2,0.05,0,0.013521352508258238
R13202,Suzuka,42.0,28.0,21.1,84.7,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.35,0.3,0.15,0.25,0.2,0.1,0.2,0,0.013520609679518871
R21806,Monza,41.0,19.0,21.3,88.3,mid_short,cool,10.0,4.0,MEDIUM>SOFT,4.0,0.35,0.4,0.25,0.15,0.1,0.15,0.2,0.15,0,0.013505507753277864
R28231,Suzuka,70.0,42.0,22.9,82.9,long,hot,12.0,6.0,MEDIUM>SOFT,3.0,0.35,0.35,0.3,0.1,0.1,0.1,0.15,0.15,0,0.013487653917074783
R29944,Suzuka,41.0,23.0,23.1,82.9,mid_short,cool,11.0,5.0,MEDIUM>SOFT,5.0,0.4,0.4,0.2,0.2,0.05,0.1,0.25,0.1,0,0.01343469650722293
R29390,Suzuka,49.0,22.0,23.3,88.0,mid,cool,13.0,11.0,SOFT>HARD>SOFT,3.0,0.4,0.25,0.35,0.0,0.1,0.1,0.05,0.1,0,0.013406522176021549
R21693,Monza,68.0,39.0,22.5,85.8,long,hot,10.0,5.0,MEDIUM>SOFT,4.0,0.35,0.3,0.35,0.05,0.1,0.1,0.2,0.1,0,0.01335365309840939
R11578,Monza,35.0,28.0,22.9,90.0,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.35,0.4,0.25,0.2,0.25,0.15,0.15,0.15,0,0.013336583010977811
R13042,Suzuka,38.0,28.0,23.2,80.5,mid_short,mild,6.0,0.0,HARD>SOFT,4.0,0.25,0.4,0.35,0.1,0.2,0.15,0.2,0.15,0,0.013309924977158298
R09010,Suzuka,44.0,31.0,21.0,81.5,mid_short,warm,6.0,0.0,MEDIUM>SOFT,4.0,0.3,0.35,0.35,0.1,0.15,0.2,0.2,0.2,0,0.013284846144753368
R27323,Suzuka,45.0,22.0,21.3,84.6,mid_short,cool,10.0,4.0,MEDIUM>SOFT,5.0,0.25,0.5,0.25,0.05,0.15,0.1,0.25,0.1,0,0.013280566645247592
R26236,Spa,44.0,37.0,21.8,81.8,mid_short,hot,12.0,6.0,MEDIUM>SOFT,3.0,0.4,0.4,0.2,0.15,0.1,0.1,0.15,0.15,0,0.013209683648980848
R22551,Suzuka,65.0,20.0,23.4,85.6,long,cool,9.0,4.0,HARD>SOFT,4.0,0.3,0.35,0.35,0.1,0.15,0.15,0.15,0.05,0,0.013170445046475725
R19580,Monaco,43.0,28.0,23.5,84.1,mid_short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.3,0.4,0.3,0.15,0.2,0.15,0.2,0.15,0,0.013109174395595051
R11603,Suzuka,35.0,28.0,21.5,85.0,short,mild,6.0,0.0,HARD>SOFT,5.0,0.3,0.25,0.45,0.15,0.15,0.2,0.1,0.15,0,0.013102621896662116
R08358,Monza,38.0,27.0,22.2,80.3,mid_short,mild,6.0,0.0,MEDIUM>HARD,6.0,0.35,0.4,0.25,0.2,0.3,0.2,0.1,0.15,0,0.013027173345156422
R25314,Monza,45.0,39.0,23.0,90.0,mid_short,hot,12.0,7.0,HARD>SOFT,3.0,0.4,0.2,0.4,0.15,0.05,0.1,0.1,0.1,0,0.013026209794182111
R11463,Suzuka,35.0,27.0,21.5,87.6,short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.4,0.3,0.15,0.25,0.15,0.15,0.15,0,0.013024300395605063
R06695,Suzuka,45.0,29.0,23.8,83.4,mid_short,mild,6.0,0.0,HARD>SOFT,5.0,0.2,0.3,0.5,0.15,0.15,0.25,0.15,0.05,0,0.01301297120492644
R04148,Suzuka,27.0,29.0,20.8,84.7,short,mild,4.0,0.0,MEDIUM>HARD,6.0,0.45,0.3,0.25,0.3,0.3,0.25,0.0,0.15,0,0.013004890408601567
R23316,Suzuka,56.0,40.0,23.6,86.8,long,hot,13.0,9.0,SOFT>HARD>SOFT,3.0,0.35,0.35,0.3,0.05,0.05,0.1,0.15,0.1,0,0.0129953380037495
R09591,Bahrain,35.0,30.0,23.6,83.3,short,mild,6.0,0.0,HARD>SOFT,4.0,0.3,0.3,0.4,0.15,0.1,0.2,0.2,0.15,0,0.012987886811678187
R05232,Suzuka,35.0,29.0,20.6,81.7,short,mild,4.0,0.0,MEDIUM>HARD,7.0,0.25,0.35,0.4,0.25,0.35,0.3,0.0,0.0,0,0.01296907959432087
R28931,Suzuka,63.0,23.0,24.0,85.9,long,cool,10.0,5.0,HARD>SOFT,3.0,0.4,0.3,0.3,0.1,0.15,0.1,0.1,0.15,0,0.012963755704930052
R11931,Monza,35.0,28.0,23.5,89.9,short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.35,0.5,0.15,0.2,0.25,0.1,0.25,0.15,0,0.012956264639427152
R00694,Monza,31.0,29.0,22.5,80.7,short,mild,4.0,0.0,MEDIUM>HARD,7.0,0.2,0.35,0.45,0.2,0.35,0.35,0.0,0.0,0,0.012936883938924396
R17872,Suzuka,35.0,33.0,23.2,84.8,short,warm,6.0,0.0,MEDIUM>HARD,4.0,0.3,0.35,0.35,0.2,0.2,0.15,0.15,0.1,0,0.01292659271963853
R16790,Monza,37.0,27.0,23.9,88.9,mid_short,mild,6.0,0.0,MEDIUM>HARD,4.0,0.35,0.35,0.3,0.15,0.2,0.2,0.15,0.2,0,0.0129098059371685
R13321,Monaco,45.0,27.0,22.9,83.9,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.4,0.35,0.25,0.2,0.25,0.15,0.1,0.2,0,0.01287498995760828
R22980,Suzuka,44.0,21.0,22.6,81.1,mid_short,cool,12.0,7.0,MEDIUM>HARD,5.0,0.4,0.4,0.2,0.15,0.25,0.05,0.05,0.1,0,0.012841020279647241
R23734,Monaco,67.0,37.0,21.7,81.0,long,hot,9.0,6.0,HARD>SOFT,3.0,0.45,0.35,0.2,0.15,0.15,0.0,0.15,0.1,0,0.012827671610030239
R06776,Monza,45.0,30.0,22.9,87.6,mid_short,mild,6.0,0.0,HARD>SOFT,4.0,0.25,0.4,0.35,0.15,0.2,0.15,0.2,0.1,0,0.0128029722790777
R21918,Suzuka,44.0,20.0,23.0,87.1,mid_short,cool,9.0,5.0,MEDIUM>SOFT,5.0,0.45,0.4,0.15,0.1,0.1,0.0,0.25,0.15,0,0.012802402940153884
R09412,Suzuka,44.0,28.0,20.6,90.3,mid_short,mild,6.0,0.0,MEDIUM>HARD,5.0,0.3,0.45,0.25,0.25,0.25,0.2,0.2,0.05,0,0.012796611767528185
R25250,Suzuka,42.0,27.0,20.5,92.3,mid_short,mild,10.0,5.0,HARD>SOFT,3.0,0.45,0.25,0.3,0.15,0.1,0.1,0.15,0.1,0,0.012774840175816317
R22299,Monza,42.0,42.0,21.8,81.8,mid_short,hot,9.0,4.0,MEDIUM>HARD,6.0,0.2,0.5,0.3,0.05,0.3,0.15,0.2,0.05,0,0.012753178800230454
R25199,Suzuka,54.0,40.0,20.1,85.8,mid,hot,12.0,7.0,HARD>SOFT,3.0,0.5,0.25,0.25,0.15,0.05,0.05,0.1,0.15,0,0.012745102869661684
R18272,Suzuka,35.0,27.0,23.5,89.8,short,mild,6.0,0.0,HARD>SOFT,5.0,0.35,0.15,0.5,0.25,0.1,0.25,0.05,0.1,0,0.012726699753539891
R24023,Suzuka,45.0,42.0,20.8,92.1,mid_short,hot,10.0,6.0,MEDIUM>HARD,4.0,0.35,0.3,0.35,0.1,0.2,0.1,0.1,0.05,0,0.012707900659979347
R29093,Suzuka,45.0,39.0,22.9,83.7,mid_short,hot,11.0,8.0,HARD>SOFT,4.0,0.35,0.2,0.45,0.05,0.05,0.15,0.05,0.1,0,0.012678820729921226
R08508,Suzuka,35.0,31.0,22.2,81.2,short,warm,6.0,0.0,MEDIUM>SOFT,6.0,0.15,0.45,0.4,0.05,0.15,0.3,0.3,0.1,0,0.012677641862528889
R10304,Suzuka,40.0,27.0,23.7,81.1,mid_short,mild,6.0,0.0,MEDIUM>SOFT,5.0,0.2,0.35,0.45,0.05,0.1,0.25,0.25,0.15,0,0.012673882694664957
R29402,Bahrain,41.0,40.0,22.5,84.8,mid_short,hot,8.0,2.0,MEDIUM>HARD,4.0,0.4,0.35,0.25,0.15,0.2,0.1,0.1,0.2,0,0.012644621699116981
R23476,Monza,70.0,21.0,23.1,86.3,long,cool,10.0,4.0,HARD>SOFT,4.0,0.3,0.3,0.4,0.1,0.15,0.15,0.1,0.1,0,0.012620058874119546
R19876,Suzuka,36.0,28.0,23.7,82.3,mid_short,mild,6.0,0.0,MEDIUM>SOFT,4.0,0.25,0.35,0.4,0.1,0.15,0.2,0.2,0.15,0,0.012598588044059117
R18038,Monza,42.0,30.0,23.6,87.4,mid_short,mild,5.0,0.0,MEDIUM>HARD,6.0,0.4,0.35,0.25,0.2,0.3,0.25,0.05,0.2,0,0.012595025098787484
R20018,Suzuka,43.0,30.0,21.2,80.0,mid_short,mild,6.0,0.0,HARD>SOFT,5.0,0.4,0.2,0.4,0.2,0.15,0.15,0.05,0.2,0,0.012584840823878275
R23266,Suzuka,65.0,22.0,21.6,88.8,long,cool,10.0,7.0,MEDIUM>HARD,4.0,0.35,0.4,0.25,0.1,0.2,0.15,0.15,0.0,0,0.012543329724277897
R14915,Monza,54.0,30.0,22.0,83.3,mid,mild,6.0,0.0,MEDIUM>HARD,5.0,0.45,0.3,0.25,0.25,0.25,0.2,0.05,0.2,0,0.01253979619273875
R29044,Monza,43.0,39.0,20.9,93.2,mid_short,hot,9.0,3.0,MEDIUM>HARD,5.0,0.35,0.5,0.15,0.2,0.25,0.05,0.25,0.05,0,0.012528650893767113
R12775,Suzuka,55.0,27.0,23.5,80.9,mid,mild,6.0,0.0,HARD>SOFT,4.0,0.4,0.25,0.35,0.2,0.15,0.15,0.1,0.2,0,0.012524471203330265
R11823,Suzuka,45.0,27.0,23.0,88.5,mid_short,mild,6.0,0.0,HARD>SOFT,4.0,0.3,0.35,0.35,0.1,0.15,0.15,0.2,0.2,0,0.012515432600719486
R06437,Monza,53.0,30.0,23.0,80.7,mid,mild,6.0,0.0,MEDIUM>HARD,4.0,0.3,0.4,0.3,0.2,0.2,0.15,0.2,0.1,0,0.012514067644570387
R04737,Suzuka,34.0,30.0,21.0,81.6,short,mild,4.0,0.0,MEDIUM>HARD,6.0,0.25,0.3,0.45,0.25,0.3,0.25,0.0,0.0,0,0.012501159626710215
R26003,Monza,59.0,18.0,22.3,82.1,long,cool,9.0,4.0,MEDIUM>SOFT,3.0,0.35,0.35,0.3,0.15,0.15,0.1,0.15,0.1,0,0.01249359680327665
R21481,Monza,45.0,22.0,20.6,90.2,mid_short,cool,13.0,7.0,MEDIUM>SOFT,3.0,0.3,0.35,0.35,0.15,0.05,0.15,0.15,0.05,0,0.012492218920141908
