race_id,family_key,branch,top5_correct,track,total_laps,track_temp,lap_band,temp_band,top_sequence,top_count,top_count_bucket,unique_sequences,two_stop_drivers,signature_top3
TEST_021,comp|top5ok|mid|warm|HARD>SOFT|4_5|u6|s0,comp,1,Silverstone,49,32.0,mid,warm,HARD>SOFT,5,4_5,6,0,HARD>SOFT:5 | HARD>MEDIUM:4 | SOFT>HARD:3
TEST_022,comp|top5miss|mid|mild|HARD>MEDIUM|6_7|u10|s4,comp,0,COTA,46,26.0,mid,mild,HARD>MEDIUM,6,6_7,10,4,HARD>MEDIUM:6 | HARD>SOFT:3 | SOFT>HARD:3
TEST_024,comp|top5miss|mid_short|cool|SOFT>HARD|4_5|u10|s4,comp,0,Silverstone,44,22.0,mid_short,cool,SOFT>HARD,4,4_5,10,4,SOFT>HARD:4 | HARD>SOFT:4 | MEDIUM>SOFT:3
TEST_025,comp|top5ok|long|cool|SOFT>MEDIUM|4_5|u12|s7,comp,1,Suzuka,57,18.0,long,cool,SOFT>MEDIUM,4,4_5,12,7,SOFT>MEDIUM:4 | MEDIUM>SOFT:3 | HARD>SOFT:3
TEST_029,comp|top5miss|mid_short|warm|HARD>SOFT|4_5|u6|s0,comp,0,Monza,41,31.0,mid_short,warm,HARD>SOFT,4,4_5,6,0,HARD>SOFT:4 | MEDIUM>SOFT:4 | MEDIUM>HARD:4
TEST_031,comp|top5miss|mid_short|mild|HARD>MEDIUM|8_10|u3|s0,comp,0,COTA,37,28.0,mid_short,mild,HARD>MEDIUM,8,8_10,3,0,HARD>MEDIUM:8 | MEDIUM>HARD:6 | SOFT>HARD:6
TEST_032,comp|top5miss|mid_short|mild|HARD>MEDIUM|4_5|u6|s0,comp,0,COTA,41,29.0,mid_short,mild,HARD>MEDIUM,5,4_5,6,0,HARD>MEDIUM:5 | SOFT>HARD:5 | SOFT>MEDIUM:4
TEST_033,balanced|top5miss|mid_short|warm|MEDIUM>SOFT|4_5|u6|s0,balanced,0,Bahrain,43,32.0,mid_short,warm,MEDIUM>SOFT,5,4_5,6,0,MEDIUM>SOFT:5 | HARD>SOFT:5 | MEDIUM>HARD:4
TEST_034,balanced|top5ok|mid_short|mild|MEDIUM>HARD|6_7|u6|s0,balanced,1,Bahrain,43,29.0,mid_short,mild,MEDIUM>HARD,6,6_7,6,0,MEDIUM>HARD:6 | SOFT>HARD:5 | HARD>MEDIUM:3
TEST_035,comp|top5ok|mid|warm|HARD>SOFT|6_7|u6|s0,comp,1,Monza,50,32.0,mid,warm,HARD>SOFT,7,6_7,6,0,HARD>SOFT:7 | HARD>MEDIUM:3 | MEDIUM>SOFT:3
TEST_037,comp|top5miss|mid_short|hot|MEDIUM>HARD|4_5|u13|s7,comp,0,Spa,45,40.0,mid_short,hot,MEDIUM>HARD,4,4_5,13,7,MEDIUM>HARD:4 | HARD>MEDIUM:3 | SOFT>HARD:2
TEST_040,comp|top5miss|long|cool|MEDIUM>HARD|4_5|u11|s7,comp,0,COTA,57,23.0,long,cool,MEDIUM>HARD,3,4_5,11,7,MEDIUM>HARD:3 | HARD>MEDIUM:3 | SOFT>MEDIUM:3
TEST_041,balanced|top5miss|mid_short|mild|SOFT>HARD|4_5|u6|s0,balanced,0,COTA,39,28.0,mid_short,mild,SOFT>HARD,5,4_5,6,0,SOFT>HARD:5 | MEDIUM>SOFT:5 | SOFT>MEDIUM:4
TEST_042,comp|top5miss|mid|hot|MEDIUM>SOFT|6_7|u11|s8,comp,0,Monaco,54,37.0,mid,hot,MEDIUM>SOFT,6,6_7,11,8,MEDIUM>SOFT:6 | SOFT>MEDIUM:2 | MEDIUM>HARD>MEDIUM:2
TEST_043,comp|top5miss|mid_short|hot|SOFT>MEDIUM|6_7|u12|s6,comp,0,Bahrain,41,41.0,mid_short,hot,SOFT>MEDIUM,6,6_7,12,6,SOFT>MEDIUM:6 | HARD>MEDIUM:2 | MEDIUM>SOFT:2
TEST_045,comp|top5ok|mid|warm|MEDIUM>HARD|4_5|u6|s0,comp,1,COTA,49,33.0,mid,warm,MEDIUM>HARD,5,4_5,6,0,MEDIUM>HARD:5 | SOFT>MEDIUM:5 | HARD>SOFT:3
TEST_046,balanced|top5miss|short|mild|MEDIUM>HARD|6_7|u4|s0,balanced,0,Silverstone,30,28.0,short,mild,MEDIUM>HARD,6,6_7,4,0,MEDIUM>HARD:6 | SOFT>HARD:6 | HARD>SOFT:4
TEST_049,comp|top5miss|mid_short|mild|HARD>SOFT|4_5|u6|s0,comp,0,Monaco,40,29.0,mid_short,mild,HARD>SOFT,5,4_5,6,0,HARD>SOFT:5 | HARD>MEDIUM:4 | MEDIUM>SOFT:4
TEST_051,comp|top5ok|mid|mild|MEDIUM>HARD|6_7|u6|s0,comp,1,Monza,47,27.0,mid,mild,MEDIUM>HARD,6,6_7,6,0,MEDIUM>HARD:6 | HARD>SOFT:4 | MEDIUM>SOFT:4
TEST_052,no_comp|top5miss|short|warm|MEDIUM>HARD|8_10|u4|s0,no_comp,0,Silverstone,31,32.0,short,warm,MEDIUM>HARD,12,8_10,4,0,MEDIUM>HARD:12 | SOFT>HARD:3 | HARD>MEDIUM:3
TEST_053,comp|top5ok|mid|warm|HARD>MEDIUM|4_5|u6|s0,comp,1,Suzuka,53,33.0,mid,warm,HARD>MEDIUM,5,4_5,6,0,HARD>MEDIUM:5 | MEDIUM>SOFT:5 | MEDIUM>HARD:4
TEST_054,no_comp|top5miss|short|warm|HARD>MEDIUM|8_10|u4|s0,no_comp,0,Monaco,35,31.0,short,warm,HARD>MEDIUM,10,8_10,4,0,HARD>MEDIUM:10 | MEDIUM>HARD:6 | HARD>SOFT:3
TEST_055,comp|top5miss|mid_short|mild|HARD>SOFT|4_5|u6|s0,comp,0,Monza,40,28.0,mid_short,mild,HARD>SOFT,5,4_5,6,0,HARD>SOFT:5 | MEDIUM>HARD:4 | SOFT>MEDIUM:4
TEST_056,comp|top5miss|mid|mild|HARD>MEDIUM|4_5|u6|s0,comp,0,Suzuka,49,29.0,mid,mild,HARD>MEDIUM,4,4_5,6,0,HARD>MEDIUM:4 | HARD>SOFT:4 | MEDIUM>SOFT:4
TEST_057,balanced|top5miss|mid_short|warm|SOFT>HARD|4_5|u6|s0,balanced,0,Monaco,43,34.0,mid_short,warm,SOFT>HARD,4,4_5,6,0,SOFT>HARD:4 | HARD>SOFT:4 | HARD>MEDIUM:4
TEST_058,comp|top5miss|mid_short|mild|MEDIUM>SOFT|6_7|u5|s0,comp,0,Monza,45,27.0,mid_short,mild,MEDIUM>SOFT,6,6_7,5,0,MEDIUM>SOFT:6 | HARD>MEDIUM:5 | MEDIUM>HARD:4
TEST_060,comp|top5miss|mid_short|mild|HARD>MEDIUM|8_10|u4|s0,comp,0,Spa,37,29.0,mid_short,mild,HARD>MEDIUM,8,8_10,4,0,HARD>MEDIUM:8 | SOFT>HARD:7 | MEDIUM>HARD:4
TEST_061,comp|top5miss|mid|mild|MEDIUM>HARD|4_5|u6|s0,comp,0,Bahrain,54,27.0,mid,mild,MEDIUM>HARD,5,4_5,6,0,MEDIUM>HARD:5 | HARD>SOFT:3 | HARD>MEDIUM:3
TEST_064,comp|top5ok|mid_short|cool|SOFT>HARD>SOFT|4_5|u9|s8,comp,1,Monaco,45,20.0,mid_short,cool,SOFT>HARD>SOFT,3,4_5,9,8,SOFT>HARD>SOFT:3 | HARD>MEDIUM:3 | HARD>SOFT:3
TEST_065,balanced|top5ok|short|mild|MEDIUM>SOFT|4_5|u6|s0,balanced,1,Suzuka,35,30.0,short,mild,MEDIUM>SOFT,5,4_5,6,0,MEDIUM>SOFT:5 | SOFT>MEDIUM:5 | MEDIUM>HARD:4
TEST_066,comp|top5ok|short|mild|MEDIUM>SOFT|4_5|u6|s0,comp,1,Monaco,35,27.0,short,mild,MEDIUM>SOFT,5,4_5,6,0,MEDIUM>SOFT:5 | MEDIUM>HARD:4 | HARD>MEDIUM:4
TEST_067,balanced|top5ok|short|mild|MEDIUM>HARD|6_7|u4|s0,balanced,1,Monza,35,28.0,short,mild,MEDIUM>HARD,7,6_7,4,0,MEDIUM>HARD:7 | SOFT>HARD:7 | HARD>MEDIUM:4
TEST_070,balanced|top5miss|short|mild|MEDIUM>HARD|8_10|u4|s0,balanced,0,Monza,35,29.0,short,mild,MEDIUM>HARD,9,8_10,4,0,MEDIUM>HARD:9 | SOFT>HARD:8 | HARD>MEDIUM:2
TEST_071,comp|top5ok|mid|warm|HARD>MEDIUM|6_7|u6|s0,comp,1,Spa,52,31.0,mid,warm,HARD>MEDIUM,6,6_7,6,0,HARD>MEDIUM:6 | MEDIUM>HARD:5 | MEDIUM>SOFT:3
TEST_073,comp|top5ok|mid|mild|MEDIUM>HARD|6_7|u6|s0,comp,1,Suzuka,52,30.0,mid,mild,MEDIUM>HARD,6,6_7,6,0,MEDIUM>HARD:6 | MEDIUM>SOFT:5 | SOFT>MEDIUM:4
TEST_074,comp|top5miss|long|hot|HARD>SOFT|4_5|u13|s9,comp,0,Monza,64,40.0,long,hot,HARD>SOFT,3,4_5,13,9,HARD>SOFT:3 | MEDIUM>SOFT:3 | HARD>MEDIUM>HARD:2
TEST_075,balanced|top5ok|mid_short|warm|SOFT>MEDIUM|4_5|u5|s0,balanced,1,Monza,41,31.0,mid_short,warm,SOFT>MEDIUM,5,4_5,5,0,SOFT>MEDIUM:5 | MEDIUM>HARD:4 | MEDIUM>SOFT:4
TEST_076,comp|top5miss|long|cool|HARD>SOFT|4_5|u11|s5,comp,0,Bahrain,62,20.0,long,cool,HARD>SOFT,3,4_5,11,5,HARD>SOFT:3 | MEDIUM>SOFT:3 | SOFT>MEDIUM:3
TEST_077,comp|top5miss|mid_short|mild|HARD>SOFT|6_7|u6|s0,comp,0,Monaco,38,30.0,mid_short,mild,HARD>SOFT,6,6_7,6,0,HARD>SOFT:6 | HARD>MEDIUM:6 | SOFT>HARD:3
TEST_079,comp|top5miss|mid_short|mild|HARD>MEDIUM|8_10|u3|s0,comp,0,Monaco,39,30.0,mid_short,mild,HARD>MEDIUM,11,8_10,3,0,HARD>MEDIUM:11 | MEDIUM>HARD:5 | SOFT>HARD:4
TEST_080,comp|top5miss|mid_short|cool|SOFT>MEDIUM|4_5|u10|s5,comp,0,Monaco,42,22.0,mid_short,cool,SOFT>MEDIUM,4,4_5,10,5,SOFT>MEDIUM:4 | MEDIUM>SOFT:4 | HARD>SOFT:4
TEST_082,comp|top5miss|mid_short|warm|MEDIUM>SOFT|4_5|u12|s6,comp,0,Bahrain,44,36.0,mid_short,warm,MEDIUM>SOFT,4,4_5,12,6,MEDIUM>SOFT:4 | SOFT>HARD:3 | HARD>SOFT:3
TEST_083,comp|top5miss|mid_short|mild|HARD>SOFT|6_7|u5|s0,comp,0,Monaco,44,29.0,mid_short,mild,HARD>SOFT,6,6_7,5,0,HARD>SOFT:6 | HARD>MEDIUM:5 | SOFT>MEDIUM:4
TEST_085,comp|top5miss|long|warm|MEDIUM>SOFT|4_5|u8|s3,comp,0,Suzuka,58,34.0,long,warm,MEDIUM>SOFT,5,4_5,8,3,MEDIUM>SOFT:5 | SOFT>HARD:3 | HARD>MEDIUM:3
TEST_086,comp|top5ok|long|cool|MEDIUM>SOFT|4_5|u11|s6,comp,1,Silverstone,66,19.0,long,cool,MEDIUM>SOFT,3,4_5,11,6,MEDIUM>SOFT:3 | SOFT>MEDIUM:3 | SOFT>HARD:3
TEST_088,comp|top5ok|mid|warm|MEDIUM>SOFT|4_5|u6|s0,comp,1,Monza,52,34.0,mid,warm,MEDIUM>SOFT,5,4_5,6,0,MEDIUM>SOFT:5 | SOFT>HARD:4 | MEDIUM>HARD:3
TEST_094,comp|top5miss|mid_short|warm|MEDIUM>HARD|8_10|u2|s0,comp,0,Suzuka,40,33.0,mid_short,warm,MEDIUM>HARD,12,8_10,2,0,MEDIUM>HARD:12 | HARD>MEDIUM:8
TEST_095,balanced|top5miss|mid_short|mild|SOFT>HARD|4_5|u6|s0,balanced,0,Suzuka,42,30.0,mid_short,mild,SOFT>HARD,4,4_5,6,0,SOFT>HARD:4 | MEDIUM>HARD:4 | MEDIUM>SOFT:4
TEST_096,comp|top5ok|long|mild|MEDIUM>SOFT|4_5|u11|s5,comp,1,Suzuka,59,28.0,long,mild,MEDIUM>SOFT,4,4_5,11,5,MEDIUM>SOFT:4 | HARD>SOFT:3 | MEDIUM>HARD:3
TEST_097,comp|top5miss|mid_short|mild|HARD>MEDIUM|4_5|u6|s0,comp,0,Silverstone,41,28.0,mid_short,mild,HARD>MEDIUM,4,4_5,6,0,HARD>MEDIUM:4 | MEDIUM>HARD:4 | HARD>SOFT:4
TEST_099,balanced|top5ok|short|warm|MEDIUM>HARD|8_10|u4|s0,balanced,1,Monza,35,31.0,short,warm,MEDIUM>HARD,9,8_10,4,0,MEDIUM>HARD:9 | SOFT>HARD:8 | HARD>MEDIUM:2
TEST_100,comp|top5ok|mid_short|hot|SOFT>MEDIUM|4_5|u10|s6,comp,1,Bahrain,45,37.0,mid_short,hot,SOFT>MEDIUM,5,4_5,10,6,SOFT>MEDIUM:5 | MEDIUM>SOFT:3 | MEDIUM>HARD:3
